source_video_relpath,resolution,fps,video_codec,bit_depth,dynamic_range,duration_sec,video_bitrate_mbps,video_bitrate_source,audio_codecs,audio_tracks,filesize_bytes,filesize_gib,classification,classification_reason,ffprobe_error
tt10095582_TheTragedyofMacbeth/[麦克白的悲剧].The.Tragedy.of.Macbeth.2021.2160p.ATVP.WEB-DL.H265.10bit.DDP5.1.Atmos-UBWEB.mkv,2956x2160,23.976,hevc,10,SDR,6308.802,20.878,container_average_estimate,eac3,1,16464765893,15.334,TRANSCODE,resolution exceeds 1920x1080; bit depth is 10-bit; video bitrate exceeds 10 Mbps: 20.878,
tt10272386_TheFather/困在时JLD父亲.mp4,1920x1080,23.976,h264,8,SDR,5772.850,4.026,video_stream,aac,1,3137169500,2.922,PASS,meets default delivery profile,
tt10293406_ThePowerOfTheDog/The.Power.of.the.Dog.2021.2160p.NF.WEB-DL.DDP5.1.Atmos.HDR.H.265-PLEW.mkv,3840x2160,24.000,hevc,10,HDR,7722.560,15.497,container_average_estimate,eac3,1,14959380923,13.932,HDR_TONEMAP,HDR metadata detected; resolution exceeds 1920x1080; bit depth is 10-bit; video bitrate exceeds 10 Mbps: 15.497,
tt10366460_CODA/健听女孩.官方中字.Coda.2021..mp4,1920x1038,23.976,h264,8,SDR,6704.800,4.383,video_stream,aac,1,3864915543,3.599,PASS,meets default delivery profile,
tt10514222_MaRaineysBlackBottom/Ma.Raineys.Black.Bottom.2020.1080p.mp4,1920x1080,24.000,h264,8,SDR,5646.443,4.898,video_stream,aac,1,3595568365,3.349,PASS,meets default delivery profile,
tt10612922_OneNightinMiami/One.Night.in.Miami.2020.1080p.中英字幕.mp4,1920x1080,23.976,h264,8,SDR,6860.053,4.833,video_stream,aac,1,4313559434,4.017,PASS,meets default delivery profile,
tt10618286_Mank/Mank.2020.2160p.Web.SDR.DDP5.1-老K.mkv,3840x2160,24.000,hevc,10,SDR,7962.656,12.299,container_average_estimate,eac3,1,12241157053,11.400,TRANSCODE,resolution exceeds 1920x1080; bit depth is 10-bit; video bitrate exceeds 10 Mbps: 12.299,
tt10633456_Minari/【QY-404】米纳里.Minari.2020.720p.WEBSCR.X264.AC3-QYDY.mp4,1280x536,30.000,h264,8,SDR,6903.104,3.373,video_stream,aac,1,3025205361,2.817,PASS,meets default delivery profile,
tt10633456_Minari/米纳里.官方中字.Minari.2020.BD1080P.X264.mp4,1920x1080,23.976,h264,8,SDR,6912.949,5.385,video_stream,aac,1,4854412335,4.521,PASS,meets default delivery profile,
tt1070874_TheTrialoftheChicago7/芝加哥.mp4,1920x1080,24.000,h264,8,SDR,7810.624,2.066,video_stream,aac,1,2146705857,1.999,PASS,meets default delivery profile,
tt11563598_ACompleteUnkown/1080中英.mp4,1920x800,24.000,h264,8,SDR,8469.355,4.948,video_stream,aac,1,5413184906,5.041,PASS,meets default delivery profile,
tt11813216_TheBansheesOfInisherin/The Banshees of Inisherin.2022.1080p.Blu-ray.DTS 5.1.H.265.mkv,1920x804,23.976,hevc,10,SDR,6835.040,8.829,container_average_estimate,dts,1,7542968515,7.025,TRANSCODE,bit depth is 10-bit,
tt12300742_Bugonia/【4KUHD】拯救地球.中英双字.Bugonia.2025.BluRay.2160p.TrueHD7.1.HDR.x265.10bit.mkv,3240x2160,23.976,hevc,10,HDR,7094.229,6.474,container_average_estimate,aac,1,5740744678,5.346,HDR_TONEMAP,HDR metadata detected; resolution exceeds 1920x1080; bit depth is 10-bit,
tt12536294_Spencer/Spencer.2021.BluRay.1080p.DTS-HD.MA.5.1.x265-OPT.mkv,1800x1080,23.976,hevc,10,SDR,7004.372,11.862,container_average_estimate,dts,1,10385513558,9.672,TRANSCODE,bit depth is 10-bit; video bitrate exceeds 10 Mbps: 11.862,
tt12618926_Parallelmothers/Madres.paralelas.AKA.Parallel.Mothers.2021.1080p.BluRay.DD+5.1.x265.10bit-NewHD.mkv,1920x1040,24.000,hevc,10,SDR,7359.840,11.224,container_average_estimate,eac3,1,10325513715,9.616,TRANSCODE,bit depth is 10-bit; video bitrate exceeds 10 Mbps: 11.224,
tt1262426_Wicked/魔法坏女巫.Wicked.2024.1080p.BluRay.CHS&ENG-HAN.CHAOSPACE.mp4,1920x1080,23.976,h264,8,SDR,9641.301,3.000,video_stream,aac,1,3773997563,3.515,PASS,meets default delivery profile,
tt12789558_Belfast/Belfast.2021.2160p.WEB-DL.x265.10bit.SDR.DDP5.1.Atmos-NOGRP.mkv,3840x2070,23.976,hevc,10,SDR,5885.754,12.605,container_average_estimate,eac3,1,9273574028,8.637,TRANSCODE,resolution exceeds 1920x1080; bit depth is 10-bit; video bitrate exceeds 10 Mbps: 12.605,
tt1312221_Frankenstein/Frankenstein.2025.1080p.NF.WEB-DL.H.264.DDP5.1.Atmos.mkv,1920x1080,24.000,h264,8,SDR,9145.750,5.616,container_average_estimate,eac3,1,6420821950,5.980,PASS,meets default delivery profile,
tt13143964_BoratSubsequentMoviefilm/borat.subsequent.moviefilm.1080p.mp4,1920x1080,23.976,h264,8,SDR,5764.715,4.788,video_stream,aac,1,3591636604,3.345,PASS,meets default delivery profile,
tt13833688_TheWhale/The.Whale.2022.2160p.iT.WEB-DL.DDP5.1.Atmos.DV.HDR.H.265-FLUX.mkv,2872x2156,23.976,hevc,10,HDR,7009.600,25.803,container_average_estimate,eac3,1,22608318432,21.056,HDR_TONEMAP,HDR metadata detected; filesize exceeds 20 GiB; resolution exceeds 1920x1080; bit depth is 10-bit; video bitrate exceeds 10 Mbps: 25.803,
tt14230458_PoorThings/特效字幕Poor.Things.2023.BD1080P.X265.10Bit.AC3.DDP5.1.English.CHS-ENG.JKYY.mp4,1920x1080,23.976,h264,8,SDR,8499.991,4.000,video_stream,aac,1,4464302843,4.158,PASS,meets default delivery profile,
tt14849194_TheHoldovers/留校联盟.The.Holdovers.2023.HD1080P.霓虹狮子_.中英双字.霸王龙压制组T-Rex.mp4,1794x1080,23.976,h264,8,SDR,8005.873,2.473,video_stream,aac,1,2608973121,2.430,PASS,meets default delivery profile,
tt14905854_Hamnet/Hamnet.哈姆奈特.2025.1080p.中英字幕.mp4.mp4,1920x1080,23.976,h264,8,SDR,7543.968,4.102,video_stream,aac,1,4054844369,3.776,PASS,meets default delivery profile,
tt14961016_ImStillHere/中英双字.mp4,1920x1080,23.976,h264,8,SDR,8247.893,3.937,video_stream,aac,1,4261485987,3.969,PASS,meets default delivery profile,
tt1517268_Barbie/Barbie.2023.1080p.MA.WEB-DL.DDP5.1.Atmos.H264-PandaQT.mkv,1920x1080,23.976,h264,8,SDR,6842.144,8.563,container_average_estimate,eac3,1,7324062437,6.821,PASS,meets default delivery profile,
tt1517451_AStarIsBorn/[一个明星的诞生].A.Star.Is.Born.2018.BluRay.1080p.x264.DTS-CMCT.mkv,1920x1080,23.976,h264,8,SDR,8145.142,12.690,container_average_estimate,dts,1,12920064883,12.033,TRANSCODE,video bitrate exceeds 10 Mbps: 12.690,
tt15398776_Oppenheimer/奥本海默 .mp4,1920x1080,23.976,h264,8,SDR,10822.176,2.500,video_stream,ac3,1,3819811848,3.557,PASS,meets default delivery profile,
tt1655389_Blonde/Blonde.2022.金发梦露.中英字幕.1080p.mp4,1920x1080,24.000,h264,8,SDR,10048.125,3.498,video_stream,aac,1,4558305389,4.245,PASS,meets default delivery profile,
tt17009710_AnatomyOfAFall/Anatomy.of.a.Fall.2023.1080p.BluRay.x264.DTS-SONYHD.mkv,1920x1036,24.000,h264,8,SDR,9065.003,13.013,container_average_estimate,dts,1,14745084696,13.732,TRANSCODE,video bitrate exceeds 10 Mbps: 13.013,
tt1727824_BohemianRhapsody/Bohemian.Rhapsody.2018.BluRay.1080p.x265.10bit.MNHD-FRDS.mkv,1920x804,23.976,hevc,10,SDR,8077.088,6.601,container_average_estimate,ac3,1,6664339678,6.207,TRANSCODE,bit depth is 10-bit,
tt17526714_TheSubstance/The.Substance.2024.1080p.BluRay.x265.10bit.DTS.mkv,1920x800,24.000,hevc,10,SDR,8531.417,7.889,container_average_estimate,dts,1,8413078247,7.835,TRANSCODE,bit depth is 10-bit,
tt18382850_IfIHadLegsIdKickYou/如果有腿，我会踢你.2025.BD1080P.mp4,1920x1080,23.976,h264,8,SDR,6828.947,4.997,video_stream,aac,1,4707566920,4.384,PASS,meets default delivery profile,
tt19770238_Aftersun/晒后假日 2022.mp4,1920x1080,24.000,h264,8,SDR,6065.000,4.375,video_stream,aac,1,3418005120,3.183,PASS,meets default delivery profile,
tt20215234_Conclave/秘密会议.Conclave.2024.UHD.Bluray..2160p.REMUXHDR10.HEVC.Atmos.TrueHD.7.1-UBits.mkv,3840x2160,23.976,hevc,10,HDR,7229.681,59.755,container_average_estimate,truehd,1,54001218817,50.293,HDR_TONEMAP,HDR metadata detected; filesize exceeds 20 GiB; resolution exceeds 1920x1080; bit depth is 10-bit; video bitrate exceeds 10 Mbps: 59.755,
tt20221436_EmiliaPerez/艾米莉亚·佩雷斯.Emilia Pérez.2024.1080p中英字幕.mp4,1920x1080,24.000,h264,8,SDR,7942.784,5.000,video_stream,aac,1,5161422708,4.807,PASS,meets default delivery profile,
tt21823606_ARealPain/真正的痛苦.中英双字.2024.1080P.mkv,1920x1080,24.000,h264,8,SDR,5387.459,9.227,container_average_estimate,eac3,1,6213615503,5.787,PASS,meets default delivery profile,
tt23561236_AmericanFiction/【电影】美国小说.中英双字.1080P.mp4,1920x1080,23.976,hevc,8,SDR,7019.471,0.985,video_stream,aac,1,980955981,0.914,PASS,meets default delivery profile,
tt2584384_JojoRabbit/2019.1080p.BluRay.x264-中英双字.mp4,1920x1080,23.976,h264,8,SDR,6503.552,4.009,video_stream,aac,1,3522766493,3.281,PASS,meets default delivery profile,
tt26581740_Weapons/150538_凶器 Weapons.2025.1080p.官方中英字幕.404.mp4,1920x804,23.976,h264,8,SDR,7709.600,5.686,video_stream,aac,1,5672559152,5.283,PASS,meets default delivery profile,
tt27714581_SentimentalValue/Sentimental.Value.2025.MULTi.1080p.WEB-DL.H264.DDP5.1.Atmos-HamiltonShare.mkv,1916x1036,24.000,h264,8,SDR,7997.184,7.484,container_average_estimate,ac3;ac3,2,7481605558,6.968,PASS,meets default delivery profile,
tt27847051_TheSecretAgent/The.Secret.Agent.2025.2160p.AMZN.WEB-DL.DDP5.1.H.265.mkv,3840x1600,23.976,hevc,8,SDR,9666.848,15.517,container_average_estimate,eac3,1,18749593778,17.462,TRANSCODE,resolution exceeds 1920x1080; video bitrate exceeds 10 Mbps: 15.517,
tt28479262_SingSing/监狱剧院.Sing.Sing.人工中英字幕2023.1080p.MS.WEBDL.mp4,1920x1080,23.976,h264,8,SDR,6405.931,3.924,video_stream,aac,1,3298769652,3.072,PASS,meets default delivery profile,
tt28607951_Anora/2024.2160p.AMZN.WEB-DL.H265.HDR10+.DDP5.1.mkv,3840x1600,23.976,hevc,10,HDR,8322.368,20.619,container_average_estimate,eac3,1,21450125247,19.977,HDR_TONEMAP,HDR metadata detected; resolution exceeds 1920x1080; bit depth is 10-bit; video bitrate exceeds 10 Mbps: 20.619,
tt28607951_TheApprentice/2026.2160p.WEB-DL.H.265.HDR.60fps.DDP2.0.mp4,3840x1608,60.000,hevc,10,HDR,5378.322,4.225,video_stream,aac;eac3,2,3041801227,2.833,HDR_TONEMAP,HDR metadata detected; resolution exceeds 1920x1080; bit depth is 10-bit; fps exceeds 30: 60.000,
tt30343021_SongSungBlue/Song.Sung.Blue.2025.HDR.2160p.WEB-DL.H.265.Atmos-HamiltonShare.mkv,3840x2074,23.976,hevc,10,HDR,7931.590,24.594,container_average_estimate,eac3,1,24383291629,22.709,HDR_TONEMAP,HDR metadata detected; filesize exceeds 20 GiB; resolution exceeds 1920x1080; bit depth is 10-bit; video bitrate exceeds 10 Mbps: 24.594,
tt31193180_Sinners/Sinners (2025) 4K HDR10+流媒体版 杜比全景声DDP5.1 简英特效字幕 .mkv,3840x2160,23.976,hevc,10,HDR,8252.577,25.006,container_average_estimate,eac3,1,25795464650,24.024,HDR_TONEMAP,HDR metadata detected; filesize exceeds 20 GiB; resolution exceeds 1920x1080; bit depth is 10-bit; video bitrate exceeds 10 Mbps: 25.006,
tt3224458_ABeautifulDayInTheNeighborhood/邻里一MH的一天.mp4,1920x1040,23.976,h264,8,SDR,6524.517,1.496,video_stream,aac,1,1434191971,1.336,PASS,meets default delivery profile,
tt32536315_BlueMoon/Blue.Moon.2025.2160p.WEB-DL.SDR.H.265..DDP5.1.Atmos-HamiltonShare.mkv,3840x1600,23.976,hevc,8,SDR,6029.357,15.264,container_average_estimate,eac3,1,11504189238,10.714,TRANSCODE,resolution exceeds 1920x1080; video bitrate exceeds 10 Mbps: 15.264,
tt3281548_LittleWomen/小妇人 (2019) - 1080p 中英字幕.mkv,1920x1040,23.976,h264,8,SDR,8094.089,2.336,container_average_estimate,aac,1,2363056139,2.201,PASS,meets default delivery profile,
tt32916440_MartySupreme/Marty Supreme 2025 USA A24 BluRay 1080p TrueHD7.1 x265 10bit-CHD (1).mp4,1920x1080,23.976,h264,8,SDR,8981.084,2.898,video_stream,aac,1,3403360982,3.170,PASS,meets default delivery profile,
tt3581652_WestSideStory/West.Side.Story.2021.2160p.WEB-DL.x265.8bit.SDR.DTS-HD.MA.7.1-NOGRP.mkv,3840x2160,23.976,hevc,8,SDR,9380.384,27.497,container_average_estimate,dts;eac3;eac3;eac3,4,32241533707,30.027,OVERSIZE,filesize exceeds 20 GiB; resolution exceeds 1920x1080; video bitrate exceeds 10 Mbps: 27.497,
tt3704428_Elvis/Elvis.2022.2160p.WEB-DL.DDP5.1.Atmos.HDR.HEVC-BBQDDQ.mkv,3840x1604,23.976,hevc,10,HDR,9554.086,25.218,container_average_estimate,eac3,1,30116321178,28.048,HDR_TONEMAP,HDR metadata detected; filesize exceeds 20 GiB; resolution exceeds 1920x1080; bit depth is 10-bit; video bitrate exceeds 10 Mbps: 25.218,
tt4595882_CanYouEverForgiveMe/n能y谅w吗？.2018.BD1080p.中英双字.mp4,1920x1080,23.976,h264,8,SDR,6385.254,3.824,video_stream,aac,1,3260267563,3.036,PASS,meets default delivery profile,
tt4648786_Harriet/Harriet.2019.2160p.UHD.BluRay.REMUX.HEVC.HDR.TrueHD7.1-DreamHD.mkv,3840x2160,23.976,hevc,10,HDR,7507.083,51.223,container_average_estimate,truehd;ac3;ac3;ac3,4,48067265792,44.766,HDR_TONEMAP,HDR metadata detected; filesize exceeds 20 GiB; resolution exceeds 1920x1080; bit depth is 10-bit; video bitrate exceeds 10 Mbps: 51.223,
tt4995540_BeingTheRicardos/Being.the.Ricardos.2021.1080p v2.mp4,1920x1080,24.000,h264,8,SDR,7928.021,4.964,video_stream,aac,1,5114766055,4.763,PASS,meets default delivery profile,
tt5083738_TheFavourite/宠儿.TheFavourite.BDrip1080P.中英双语.mp4,1920x1080,25.000,h264,8,SDR,7178.100,1.903,video_stream,aac,1,1814889332,1.690,PASS,meets default delivery profile,
tt5302918_Nyad/奈德.Nyad.2023.BD1080P.英语中字.mp4,1920x1080,24.000,h264,8,SDR,7268.958,3.972,video_stream,aac,1,3788062432,3.528,PASS,meets default delivery profile,
tt5363618_SoundofMetal/[金属之声].Sound.of.Metal.2019.TW.BluRay.1080p.x264.DTS-CMCT.mkv,1920x1080,23.976,h264,8,SDR,7236.651,13.053,container_average_estimate,dts,1,11807346516,10.996,TRANSCODE,video bitrate exceeds 10 Mbps: 13.053,
tt5537002_KillersOfTheFlowerMoon/KiIIers.of.the.FIower.Moon.2023.2160p.UHD.BluRay.REMUX.DV.HDR.HEVC.DTS-HD.MA.5.1.mkv,3840x2160,24.000,hevc,10,HDR,12347.375,56.624,container_average_estimate,dts,1,87394853928,81.393,HDR_TONEMAP,HDR metadata detected; filesize exceeds 20 GiB; resolution exceeds 1920x1080; bit depth is 10-bit; video bitrate exceeds 10 Mbps: 56.624,
tt6155172_Roma/罗马.内嵌中字.2018.1080P.mp4,1920x808,23.976,h264,8,SDR,8098.518,2.001,video_stream,aac,1,2128019050,1.982,PASS,meets default delivery profile,
tt6266538_Vice/副总统.Vice.2018.HD1080P.X264.AAC.English.CHS-ENG.Mp4Ba.mp4,1920x1080,23.976,h264,8,SDR,7946.667,5.694,video_stream,aac,1,6036692537,5.622,PASS,meets default delivery profile,
tt6710474_EverythingEverywhereAllAtOnce/S-瞬X全宇宙-远鉴字幕.mp4,1920x1080,23.976,h264,8,SDR,8359.017,5.183,video_stream,aac,1,5750006293,5.355,PASS,meets default delivery profile,
tt6966692_GreenBook/[绿皮书].Green.Book.2018.2160p.WEB-DL.60Fps.HQ.H265.10bit.DTS5.1.2Audios-UBWEB.mkv,3840x1920,60.000,hevc,10,SDR,7790.922,26.880,container_average_estimate,dts;eac3;aac;aac,4,26177544502,24.380,OVERSIZE,filesize exceeds 20 GiB; resolution exceeds 1920x1080; bit depth is 10-bit; fps exceeds 30: 60.000; video bitrate exceeds 10 Mbps: 26.880,
tt7125860_IfBealeStreetCouldTalk/If.Beale.Street.Could.Talk.2018.假如比尔街可以作证.中英字幕.mp4,1920x956,23.976,h264,8,SDR,7164.073,4.481,video_stream,aac,1,4347150644,4.049,PASS,meets default delivery profile,
tt7286456_Joker/Joker (2019) - 2160p BluRay REMUX DoVi HDR10 H265 TrueHD 7.1 Atmos.mkv,3840x2160,23.976,hevc,10,HDR,7309.120,66.742,container_average_estimate,truehd;ac3;ac3;truehd;ac3;dts;dts,7,60978359895,56.791,HDR_TONEMAP,HDR metadata detected; filesize exceeds 20 GiB; resolution exceeds 1920x1080; bit depth is 10-bit; video bitrate exceeds 10 Mbps: 66.742,
tt7349662_BlacKkKlansman/黑色党徒.BlacKkKlansman.2018.HD720P.中英双字.mp4,1280x718,23.976,h264,8,SDR,8089.493,2.487,video_stream,aac,1,2571704618,2.395,PASS,meets default delivery profile,
tt7653254_MarriageStory/婚姻故事 Marriage Story 1080p remux (2019).mkv,1920x1080,23.976,h264,8,SDR,8222.720,32.223,container_average_estimate,dts;ac3,2,33120127636,30.846,OVERSIZE,filesize exceeds 20 GiB; video bitrate exceeds 10 Mbps: 32.223,
tt8291806_PainandGlory/痛苦Y荣耀.2019   720P.西班牙语中字.mp4,1280x692,23.976,h264,8,SDR,6809.877,2.766,video_stream,aac,1,2520615806,2.348,PASS,meets default delivery profile,
"tt8721424_TickTickBoom/tick, tick...BOOM!.mp4",1920x1080,24.000,h264,8,SDR,7296.747,4.654,video_stream,aac,1,4425099680,4.121,PASS,meets default delivery profile,
